resposta,classificacao
nao obrigado,3
quero sim,1
quero,1
levo mas quero negociar,2
nem a pau,3
kero sim,1
aceito,1
sim,1
nao,3
topo sim,1
nao quero,3
quero combinar outro preço,2
paga mais que eu levo,2
claro que quero,1
quero fazer negociaçao,2
quero nao,3
aceito claro,1
sim mas quero negociar,2
negociação,2
kero,1
Qero sim,1
sim negociar,2
ja falei que nao,3
até levo mas quero receber mais,2
aceito sim,1
pode trazer,1
só se pagar mais,2
de jeito nenhum,3
negociar,2
sempre kero,1
negativo,3
quero fazer negociacão,2
ta pagando muito pouco,2
claro,1
naum quero,3
negociacão,2
positivo,1
quero fazer negociacao,2
nunca mais,3
claro que aceito,1
só se pagarem mais,2
quero uai,1
negociacao,2
sai fora,3
topo mas quero negociar,2
negociaçao,2
não quero,3
claro que topo,1
ok,1
estou ocupado,3
voce paga quanto a mais,2
quero negociar para ganhar mais,2
agora não,3
quero sin,1
ok mas quero mais,2
obvio que sim,1
quero mais grana,2
quero claro,1
nao naum e não,3
sempre quero,1
nunca,3
quero fazer negociação,2
aceito sin,1
sim pode trazer,1
naum aceito,3
não obrigado,3
